989	986	src/ui_dialogs/context_menu.rs
310	0	src/ui_dialogs/export_batch.rs
0	1	src/ui_dialogs/metadata_transfer.rs
1	0	src/ui_dialogs/mod.rs
528	1	src/ui_dialogs/preferences.rs
888	10	src/ui_dialogs/preferences/pages.rs
53	3	src/ui_dialogs/preferences/search_index.rs
1346	334	src/ui_fullscreen.rs
53	0	src/ui_helpers.rs
684	149	src/ui_main.rs
67	12	src/ui_metadata_panel.rs
50	5	src/ui_music_panels.rs
159	2	src/undo_stack.rs
35	0	src/version_highlights.rs
57	44	src/video/mod.rs
54	22	src/video/native_presenter/overlay_draw.rs
1219	240	src/video/native_presenter/render_core.rs
2	1	src/video/native_presenter/surface_policy.rs
76	0	src/video/seek_strip.rs
678	0	src/video/seek_strip_layout.rs
344	18	src/video/seek_strip_wave.rs
331	12	src/video/tile_thumb_cache.rs
143	1	tests/export_integration.rs
